Time            Price           Type
2332              8.869            sell
2333              8.899            sell
2333              8.899            sell
2353              8.841            buy
2354              8.776            buy
2355              8.777            sell
2355              8.777            sell
2360              8.807            buy
2360              8.842            buy
2360              8.842            buy
2364              8.873            buy
2369              8.844            sell
2371              8.809            sell
2372              8.809            sell
2373              8.874            buy
2374              8.874            buy
2373              8.874            buy
2384              8.846            sell
2386              8.846            sell
2387              8.846            sell
2391              8.811            sell
2397              8.877            buy
2396              8.877            buy
2398              8.908            buy
2400              8.938            buy
2409              8.879            sell
2413              8.940            buy
2415              8.880            sell
2417              9.426            buy
2432              9.458            sell
2435              9.494            sell
2437              9.526            buy
2437              9.458            sell
2447              9.458            sell
2450              9.494            buy
2450              9.494            buy
2454              9.557            buy
2464              9.458            sell
2465              9.458            sell
2465              9.494            sell
2470              9.458            sell
2479              9.494            buy
2479              9.494            buy
2481              9.426            sell
2481              9.458            buy
2483              9.494            buy
2487              9.557            buy
2497              9.494            sell
2500              9.526            sell
2503              9.494            sell
2507              9.494            sell
2511              9.526            buy
2510              9.526            buy
2512              9.526            buy
2516              9.526            buy
2566              9.788            sell
2568              9.819            buy
2568              9.756            sell
2568              9.756            sell
2570              9.756            sell
2574              9.819            buy
2573              9.819            buy
2574              9.819            sell
2574              9.819            buy
2575              9.819            buy
2591              9.850            sell
2592              9.850            sell
2594              9.819            sell
2598              9.788            sell
2605              9.850            buy
2606              9.850            buy
2607              9.850            buy
2611              9.819            sell
2611              9.850            buy
2616              9.887            buy
2620              9.850            sell
2622              9.850            sell
2623              9.850            sell
2624              9.887            buy
2623              9.887            buy
2624              9.850            sell
2625              9.887            buy
2626              9.887            buy
2627              9.850            sell
2629              9.887            buy
2629              9.850            sell
2630              9.850            sell
2631              9.850            sell
2634              9.887            buy
2633              9.887            buy
2634              9.850            sell
2636              9.850            sell
2637              9.850            sell
2640              9.887            buy
2639              9.887            buy
2641              9.950            buy
2643              9.950            buy
2655              9.919            sell
2658              9.919            sell
2660              9.981            buy
2661              9.981            buy
2689              10.049            sell
2692              10.081            sell
2694              10.081            buy
2695              10.081            buy
2700              10.081            sell
2701              10.049            sell
2702              10.049            sell
2705              10.081            sell
2720              10.081            buy
2720              10.049            buy
2721              10.081            buy
2723              10.018            sell
2726              10.018            sell
2726              10.018            sell
2749              10.018            buy
2749              10.018            buy
2749              10.018            buy
2753              10.049            buy
2766              10.112            sell
2768              10.018            sell
2769              10.018            sell
2773              9.950            sell
2781              10.049            buy
2782              10.018            buy
2782              10.018            buy
2784              9.595            sell
2784              9.595            sell
2785              9.595            sell
2802              9.375            buy
2803              9.345            buy
2807              9.500            buy
2812              9.440            buy
2819              9.375            sell
2820              9.375            sell
2820              9.375            sell
2827              9.345            sell
2845              9.280            buy
2846              9.280            buy
2847              9.315            buy
2853              9.315            buy
2868              9.345            sell
2869              9.315            sell
2876              9.405            buy
2877              9.405            buy
2883              9.315            sell
2884              9.315            sell
2884              9.375            buy
2887              9.375            buy
2887              9.345            sell
2887              9.345            sell
2888              9.375            buy
2889              9.375            buy
2889              9.315            sell
2889              9.315            sell
2890              9.315            sell
2892              9.345            sell
2904              9.315            buy
2904              9.280            sell
2907              9.315            buy
2907              9.250            sell
2929              9.250            buy
2930              9.250            buy
2937              9.280            buy
2939              9.280            buy
2948              9.280            sell
2950              9.250            sell
2950              9.250            sell
2955              9.250            sell
2975              9.220            buy
2977              9.220            buy
2977              9.220            buy
2984              9.220            buy
2998              9.250            sell
3001              9.315            buy
3001              9.250            sell
3003              9.280            buy
3003              9.250            sell
3004              9.250            sell
3005              9.250            sell
3005              9.280            buy
3009              9.280            buy
3009              9.315            buy
3013              9.250            sell
3014              9.250            sell
3014              9.280            sell
3014              9.280            buy
3018              9.280            buy
3018              9.280            buy
3026              9.280            sell
3028              9.315            buy
3033              9.250            sell
3033              9.250            sell
3034              9.250            sell
3038              9.250            sell
3059              9.250            buy
3062              9.220            sell
3064              9.280            buy
3065              9.280            buy
3064              9.280            buy
3069              9.250            buy
3071              9.250            sell
3071              9.250            sell
3073              9.280            buy
3072              9.280            buy
3091              9.280            sell
3092              9.315            sell
3096              9.315            buy
3096              9.345            buy
3103              9.315            sell
3105              9.315            sell
3107              9.315            sell
3109              9.315            sell
3118              9.345            buy
3117              9.345            buy
3118              9.345            buy
3121              9.345            buy
3129              9.345            sell
3131              9.315            sell
3131              9.250            sell
3134              9.250            sell
3145              9.280            buy
3145              9.250            sell
3171              9.094            buy
3172              9.095            buy
3181              9.163            buy
3184              9.099            buy
3188              9.101            sell
3191              9.131            buy
3206              9.137            sell
3207              9.138            sell
3210              9.138            sell
3212              9.174            buy
3211              9.174            buy
3212              9.140            sell
3214              9.175            buy
3215              9.175            buy
3236              9.213            sell
3237              9.214            sell
3239              9.214            sell
3243              9.246            buy
3244              9.246            sell
3245              9.246            buy
3247              9.247            buy
3248              9.247            buy
3248              9.218            sell
3249              9.278            buy
3269              9.278            sell
3270              9.277            sell
3271              9.277            sell
3276              9.277            sell
3297              9.243            buy
3298              9.243            buy
3302              9.272            buy
3305              9.242            buy
3316              9.240            sell
3318              9.240            sell
3318              9.270            buy
3319              9.239            sell
3320              9.239            sell
3327              9.238            sell
3329              9.268            buy
3331              9.238            sell
3338              9.266            buy
3337              9.266            buy
3338              9.236            buy
3339              9.236            sell
3340              9.266            buy
3341              9.206            sell
3342              9.206            sell
3342              9.236            sell
3355              9.234            buy
3355              9.204            sell
3357              9.233            buy
3357              9.233            buy
3357              9.233            buy
3361              9.263            buy
3369              9.201            sell
3370              9.201            sell
3370              9.201            sell
3373              9.231            sell
3378              9.260            buy
3377              9.260            buy
3379              9.260            buy
3381              9.259            buy
3384              9.229            sell
3384              9.199            sell
3384              9.199            sell
3386              9.199            sell
3405              9.196            buy
3406              9.195            buy
3408              9.225            buy
3413              9.194            buy
3413              9.164            sell
3414              9.164            sell
3415              9.194            sell
3417              9.223            buy
3418              9.223            buy
3417              9.223            buy
3418              9.223            sell
3419              9.223            buy
3425              9.192            sell
3427              9.222            buy
3427              9.192            sell
3429              9.221            buy
3432              9.161            sell
3433              9.161            sell
3433              9.161            sell
3436              9.126            sell
3458              9.122            buy
3460              9.091            sell
3473              9.119            buy
3473              9.148            buy
3474              9.087            buy
3478              9.180            buy
3485              9.115            sell
3488              9.115            sell
3488              9.115            sell
3493              9.055            sell
3527              8.896            buy
3529              8.866            buy
3532              8.931            buy
3537              8.961            buy
3543              8.896            sell
3544              8.896            sell
3545              8.896            sell
3545              8.961            buy
3546              8.961            buy
3545              8.961            buy
3548              8.896            sell
3549              8.896            sell
3549              8.866            sell
3554              8.896            sell
3567              8.932            buy
3566              8.932            buy
3568              8.867            sell
3569              8.897            buy
3569              8.897            buy
3575              8.897            buy
3599              8.897            sell
3600              8.897            sell
3600              8.962            buy
3601              8.932            sell
3602              8.962            buy
3603              8.962            buy
3609              8.932            sell
3611              8.932            sell
3612              8.932            sell
3613              8.962            buy
3615              8.933            sell
3616              8.933            sell
3622              8.963            buy
3621              8.963            buy
3623              8.963            buy
3626              8.933            sell
3626              8.933            buy
3626              8.933            sell
3628              8.963            buy
3627              8.963            buy
3628              8.933            sell
3628              8.933            sell
3629              8.933            sell
3629              8.963            buy
3630              8.963            buy
3629              8.963            buy
3630              8.963            sell
3632              8.933            buy
3634              8.933            sell
3635              8.933            sell
3635              8.933            sell
3636              8.963            buy
3638              8.933            sell
3638              8.933            sell
3649              8.933            buy
3649              8.963            buy
3649              8.963            buy
3653              8.963            buy
3654              8.898            sell
3655              8.898            sell
3655              8.898            sell
3658              8.868            sell
3668              8.934            buy
3667              8.934            buy
3669              8.899            sell
3669              8.934            buy
3669              8.934            buy
3671              8.869            sell
3672              8.899            sell
3674              8.899            sell
3693              8.869            buy
3694              8.869            buy
3694              8.869            buy
3696              8.839            sell
3696              8.839            sell
3697              8.809            sell
3709              8.839            buy
3710              8.839            buy
3711              8.809            sell
